2021.05.13 10:03:11.823256
Constitution 2,Water Attack 1,1.1.0

2021.05.13 10:27:01.833802
Stamina Surge 1,NULL,3.0.0
Diversion 1,Paralysis Resistance 2,1.0.0
Fire Attack 1,Quick Sheath 1,2.0.0
Speed Sharpening 1,Steadiness 1,1.1.1
Muck Resistance 2,Critical Element 1,1.0.0
Mushroomancer 1,NULL,0.0.0
Reload Speed 1,Poison Attack 1,1.0.0
Poison Attack 3,Recovery Speed 1,2.2.1
Defense Boost 1,Fire Resistance 1,1.1.0
Horn Maestro 1,Blast Resistance 2,3.1.0
Poison Resistance 2,Defense Boost 1,1.1.0
Paralysis Attack 2,Water Resistance 1,0.0.0
NormalRapid Up 1,NULL,0.0.0
Partbreaker 1,Recovery Speed 2,1.1.1
Critical Draw 1,NULL,1.0.0
Punishing Draw 1,Critical Eye 2,0.0.0
Carving Pro 1,Thunder Attack 1,0.0.0
Horn Maestro 1,Partbreaker 2,1.1.0
Blight Resistance 1,Ice Attack 1,1.0.0
Bludgeoner 1,Blast Resistance 1,1.0.0
Peak Performance 1,NULL,0.0.0
Tremor Resistance 2,Flinch Free 1,1.0.0
Steadiness 1,Partbreaker 1,1.0.0
Evade Extender 1,Blast Attack 1,1.1.0
Ice Resistance 1,Blast Resistance 2,1.0.0
Steadiness 1,Windproof 1,2.1.0
Poison Attack 1,Critical Boost 1,0.0.0
Windproof 2,Thunder Attack 1,1.1.0
Power Prolonger 1,Evade Extender 1,0.0.0
Fire Resistance 1,Evade Window 1,1.1.0
Blast Resistance 1,Dragon Resistance 2,2.2.1
Stun Resistance 1,Defense Boost 1,1.1.0
Ice Resistance 1,Master Mounter 1,2.2.0
Defense Boost 1,Geologist 2,0.0.0
Critical Draw 1,NULL,1.0.0
Resentment 2,NULL,2.0.0
Ice Resistance 1,Hunger Resistance 2,3.1.0
Water Resistance 1,Poison Resistance 1,3.0.0
Stamina Thief 1,Muck Resistance 1,2.1.0
Bludgeoner 1,Diversion 1,0.0.0
Sleep Resistance 2,WideRange 1,2.0.0
Fire Resistance 2,Quick Sheath 2,3.1.0
Agitator 2,Wirebug Whisperer 1,0.0.0
Wall Runner 1,Rapid Morph 1,0.0.0
Water Attack 1,Partbreaker 1,1.1.0
WideRange 1,Blast Resistance 1,0.0.0
Punishing Draw 2,Divine Blessing 2,2.0.0
Slugger 2,Poison Attack 1,3.0.0
Bubbly Dance 1,Weakness Exploit 1,1.1.0
Item Prolonger 1,Ice Attack 2,1.0.0

2021.05.13 12:26:43.090652
Recovery Speed 1,Reload Speed 1,2.1.0

2021.05.13 12:50:34.105962
Load Shells 1,NULL,0.0.0
Recoil Down 2,Master Mounter 1,1.0.0
Paralysis Attack 1,NULL,0.0.0
WideRange 1,Steadiness 1,1.1.0
Recoil Down 1,Water Resistance 2,0.0.0
Rapid Morph 2,Windproof 1,1.1.0
Stun Resistance 1,Recovery Up 1,2.1.0
Poison Attack 3,Resuscitate 2,1.0.0
Bludgeoner 1,Defense Boost 1,0.0.0
Hunger Resistance 2,Counterstrike 2,0.0.0
Counterstrike 2,Steadiness 1,0.0.0
Reload Speed 2,Flinch Free 1,1.0.0
Defense Boost 1,Master Mounter 1,1.0.0
Speed Eating 1,Thunder Resistance 1,2.0.0
Slugger 1,Water Attack 1,1.1.0
Divine Blessing 1,Partbreaker 1,2.0.0
Ice Resistance 1,Blight Resistance 2,1.0.0
Evade Extender 1,Bubbly Dance 1,1.1.0
Blast Resistance 1,Botanist 1,3.0.0
Fire Attack 1,Earplugs 1,1.0.0
Muck Resistance 2,Bludgeoner 1,3.2.0
Wirebug Whisperer 2,Bubbly Dance 2,2.1.0
Fire Attack 3,Thunder Attack 1,0.0.0
Minds Eye 1,NULL,1.0.0
Defense Boost 1,Divine Blessing 1,1.1.0
Punishing Draw 1,Paralysis Resistance 1,0.0.0
Critical Eye 1,NULL,1.0.0
Hellfire Cloak 1,Bludgeoner 1,1.0.0
Steadiness 1,Free Meal 2,0.0.0
Leap of Faith 1,Recovery Up 1,2.0.0
Slugger 2,Evade Window 1,1.1.0
Poison Resistance 2,Blight Resistance 1,1.1.0
Razor Sharp 1,NULL,0.0.0
Sleep Resistance 2,Blast Resistance 1,3.0.0
Bludgeoner 1,Geologist 2,1.1.0
Windproof 1,Guard 1,1.0.0
Partbreaker 1,Recovery Speed 2,1.1.0
Water Attack 1,Slugger 1,2.0.0
Hunger Resistance 1,Bludgeoner 1,1.1.0
Hellfire Cloak 1,Bubbly Dance 2,0.0.0
Evade Window 1,Ice Attack 2,0.0.0
Stamina Thief 1,Speed Sharpening 2,1.0.0
Geologist 1,Fortify 1,1.1.0
Counterstrike 1,Bubbly Dance 1,1.1.0
Maximum Might 1,Leap of Faith 1,3.0.0
Counterstrike 2,Divine Blessing 1,1.0.0
Speed Sharpening 1,Maximum Might 1,0.0.0
Stun Resistance 1,Poison Attack 1,0.0.0
Evade Window 1,Heroics 1,0.0.0
Power Prolonger 1,NULL,0.0.0

2021.05.13 13:00:41.929669
Evade Window 1,Rapid Morph 2,0.0.0

2021.05.13 13:24:33.132932
Power Prolonger 2,Carving Pro 1,1.1.0
Heroics 3,Horn Maestro 1,0.0.0
Hunger Resistance 1,Steadiness 1,0.0.0
Divine Blessing 1,Master Mounter 1,0.0.0
