2021.05.20 11:53:19.837477,,
Steadiness 1,Hunger Resistance 1,2.1.0
,,
2021.05.20 12:16:31.743304,,
Diversion 1,Water Attack 2,1.1.0
Slugger 2,Blight Resistance 1,1.1.0
Rapid Morph 2,Blast Attack 1,0.0.0
Wirebug Whisperer 1,Windproof 2,1.1.0
Water Resistance 1,Windproof 2,0.0.0
Reload Speed 1,Windproof 1,1.0.0
Slugger 1,Quick Sheath 1,2.0.0
Slugger 1,Steadiness 1,3.0.0
Stun Resistance 1,Rapid Morph 1,2.1.0
Hellfire Cloak 1,NULL,1.1.0
Bombardier 1,Wirebug Whisperer 2,2.1.1
Water Attack 1,Partbreaker 1,2.0.0
Ice Attack 1,Flinch Free 1,2.2.1
Fortify 1,Speed Sharpening 1,1.1.0
Ballistics 1,NULL,1.1.0
Evade Window 1,Speed Eating 1,1.1.0
Water Attack 1,Rapid Morph 1,2.1.0
Botanist 2,Hunger Resistance 2,1.1.0
Peak Performance 2,Counterstrike 1,0.0.0
Wirebug Whisperer 1,Wall Runner 2,3.0.0
Guard 1,NULL,0.0.0
Counterstrike 1,Weakness Exploit 1,1.1.0
Ice Attack 1,Guard Up 1,0.0.0
Fire Attack 1,Rapid Morph 1,2.0.0
Item Prolonger 2,Recovery Up 1,2.2.0
Dragon Attack 2,Fire Resistance 1,1.1.0
Quick Sheath 2,Tremor Resistance 2,3.1.0
Slugger 2,Fortify 1,1.1.0
Steadiness 1,Latent Power 1,0.0.0
Rapid Morph 2,Item Prolonger 2,2.0.0
Hunger Resistance 2,Diversion 1,2.0.0
Reload Speed 1,Protective Polish 1,0.0.0
Slugger 1,Evade Extender 2,0.0.0
Constitution 2,Ice Attack 2,0.0.0
Latent Power 1,NULL,1.0.0
Divine Blessing 1,Evade Extender 1,2.1.0
Horn Maestro 1,Speed Sharpening 2,1.1.0
Hunger Resistance 1,Sleep Attack 1,0.0.0
Steadiness 2,Sleep Resistance 1,1.0.0
Constitution 1,Bludgeoner 2,2.1.0
Stun Resistance 2,Carving Pro 1,0.0.0
Earplugs 2,Ice Resistance 1,0.0.0
Blight Resistance 1,Punishing Draw 1,1.0.0
Flinch Free 1,Resentment 1,2.1.0
Poison Attack 3,Slugger 1,2.1.0
Dragon Resistance 2,Speed Eating 2,1.0.0
